49751|846|The Life of General Francis Marion
55037|847|Lays of Ancient Rome
26292|858|Stage-Land
17848|875|The Duchess of Padua
51001|883|Our Mutual Friend
54599|885|An Ideal Husband
18719|888|The Lazy Tour of Two Idle Apprentices
43753|904|Her Father's Daughter
32627|912|Mudfog and Other Sketches
38669|914|The Uncommercial Traveller
36902|922|Sunday Under Three Heads
33701|923|A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade
33136|924|To Be Read at Dusk
37273|925|United States Presidents' Inaugural Speeches: From Washington to George W. Bush
890|931|The Bab Ballads
48732|933|More Bab Ballads
48067|934|Songs of a Savoyard
42676|935|Self Help; with Illustrations of Conduct and Perseverance
34642|940|The Last of the Mohicans; A narrative of 1757
36121|949|Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure
39210|950|Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road
46166|951|Tom Swift and His Sky Racer; Or, The Quickest Flight on Record
39964|957|The Scarecrow of Oz
44546|958|Rinkitink in Oz Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz
40641|961|Glinda of Oz In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good
7469|963|Little Dorrit
44220|967|Nicholas Nickleby
40251|968|Martin Chuzzlewit
45658|969|The Tenant of Wildfell Hall
36601|976|Tanglewood Tales
29605|977|American Notes
34828|978|The Yates Pride: A Romance
29699|983|Tour through the Eastern Counties of England, 1722
35943|985|Father Sergius
44775|994|Riders to the Sea
4288|996|Don Quixote
7935|1004|Divine Comedy, Longfellow's Translation, Complete
29791|1017|The Soul of Man under Socialism
34942|1018|The Water-Babies
36004|1029|The Night-Born
39398|1030|The Cavalier Songs and Ballads of England from 1642 to 1684
45974|1031|Charmides, and Other Poems
3420|1033|Rose o' the River
39778|1037|The Life of John Bunyan
44427|1038|Style
36706|1042|A Reading of Life, with Other Poems
32938|1044|Extract from Captain Stormfield's Visit to Heaven
48550|1053|Within the Tides: Tales
48258|1054|A Collection of Ballads
42485|1055|'Twixt Land & Sea: Tales
416|1056|Martin Eden
7266|1057|Poems, with The Ballad of Reading Gaol
5511|1059|The World Set Free
42993|1063|The Cask of Amontillado
38484|1074|The Sea-Wolf
31966|1075|The Strength of the Strong
38763|1080|A Modest Proposal For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick
31870|1081|Dead Souls
32531|1086|A Horse's Tale
37210|1089|Moon-Face, and Other Stories
43654|1090|The Bickerstaff-Partridge Papers
46862|1091|On Heroes, Hero-Worship, and the Heroic in History
5219|1095|The Light of the Western Stars
43275|1097|Mrs. Warren's Profession
48425|1098|The Turmoil: A Novel
50900|1117|King Henry IV, Part 2
49185|1121|As You Like It
19123|1124|Troilus and Cressida
54241|1129|The Tragedy of Macbeth
21721|1130|Antony and Cleopatra
26173|1138|The Research Magnificent
58325|1142|Typhoon
52306|1144|In the Cage
26893|1153|The Chessmen of Mars
27646|1154|The Voyages of Doctor Dolittle
23124|1155|The Secret Adversary
28383|1162|The Jacket (The Star-Rover)
22154|1164|The iron heel
52802|1172|The Cavalry General
56544|1174|Hellenica
53747|1175|Hiero
57209|1187|War of the Classes
28958|1191|The Double-Dealer: A Comedy
24182|1199|An Anthology of Australian Verse
8676|1200|Gargantua and Pantagruel
39419|1202|Tales of Unrest
36341|1224|Sidney Lanier
44008|1235|Captain Fracasse
32462|1240|The Playboy of the Western World: A Comedy in Three Acts
38118|1241|The Well of the Saints: A Comedy in Three Acts
38509|1246|The House of Dust: A Symphony
33375|1249|Anthem
43062|1251|Le Morte d'Arthur: Volume 1
42142|1258|Ten Years Later
47826|1259|Twenty years after
41940|1260|Jane Eyre: An Autobiography
